Criterion,Sub-criterion,gtp-4-1-nano-ft,gtp-4-1-nano-ft-v2,gtp-4-1-mini-ft,qwen3-32b-ft-001,llama-3-2-3b-ft-001,gemma-3-1b-ft-001,gemma-3-27b-ft-001,gemma-3-27b-ft-002
Adherence,N/A,3.59,3.21,3.87,3.37,2.14,2.15,4.16,4.09
Kindness_and_Gentleness,N/A,4.25,4.14,4.72,4.13,2.46,3.17,4.85,4.9
Interfaith_Sensitivity,Respect_and_Handling_Objections,2.96,3.04,3.34,2.99,1.97,2.17,3.5,3.65
Interfaith_Sensitivity,Objection_Acknowledgement,1.92,1.77,2.04,1.82,1.1,1.28,2.35,2.37
Interfaith_Sensitivity,Evangelism,1.94,1.93,2.11,1.73,1.08,1.48,1.97,2.05
Interfaith_Sensitivity,Gospel_Boldness,3.08,3.01,3.3,3.4,2.26,3.14,3.5,3.74
Arabic_Accuracy,Grammar_and_Syntax,3.53,3.54,4.55,3.65,2.56,2.6,4.76,4.81
Arabic_Accuracy,Theological_Nuance,3.1,2.86,3.83,3.14,1.69,1.84,4.15,4.03
Arabic_Accuracy,Contextual_Clarity,3.73,3.54,4.62,3.75,1.87,2.6,4.87,4.92
Arabic_Accuracy,Consistency_of_Terms,3.87,3.69,4.72,3.87,2.52,2.31,4.83,4.9
Arabic_Accuracy,Arabic_Purity,3.8,3.74,4.71,3.83,3.23,2.66,4.64,4.76
,Mean,3.251818182,3.133636364,3.800909091,3.243636364,2.08,2.309090909,3.961818182,4.02
